Regulog statistics:
RegulogName	genomes#	genomesWithoutCRtag#	CRtag#	VariablePositions#
PdxR – Lactobacillaceae	2	0	2	2
YdfD/YisV – Bacillales	5	0	5	2
GabR – Various betaproteobacteria	1	0	1	0
EutR – Rhizobiales	6	0	3	5
YrdX – Burkholderia	3	0	1	0
PdxW – Ralstonia	2	0	1	0
DVU0030 – Desulfovibrionales	7	0	6	6
TERTU_3902 – Oceanospirillales/Alteromonadales	1	0	1	0
TauR2 – Rhodobacterales	2	1	2	0
Cpin_2755 – Sphingobacteria	2	0	2	3
PdxR – Streptococcaceae	7	0	3	1
MSMEG_4140 – Mycobacteriaceae	5	0	2	6
PdxW – Sphingobacteria	2	0	2	3
TauR2 – Rhizobiales	1	0	1	0
PdxR2 – Ralstonia	1	0	1	0
PdxR2 – Alcaligenaceae	2	0	1	0
PdxR2 – Micrococcineae	2	0	2	1
PdxR2 – Xanthomonadales	1	0	1	0
PdxW – Streptomycetaceae	4	0	2	1
PdxW – Various betaproteobacteria	1	1	1	0
PdxW – Mycobacteriaceae	2	0	2	1
GabR – Burkholderia	8	0	2	1
PdxR3 – Nocardiaceae	4	0	1	0
PdxR3 – Comamonadaceae	1	0	1	0
Fjoh_4822 – Flavobacteria	5	0	4	6
Cpin_4623 – Sphingobacteria	3	0	3	6
Cpin_6695 – Sphingobacteria	1	0	1	0
Fjoh_0145 – Flavobacteria	1	0	1	0
PdxQ – Oceanospirillales/Alteromonadales	1	0	1	0
YhdI/YdeL – Staphylococcaceae	1	0	1	0
PdxW2 – Pseudomonadaceae	6	0	2	1
PdxR2 – Enterobacteriales	5	0	2	1
BC3039 – Bacillales	1	0	1	0
PdxR3 – Mycobacteriaceae	5	0	2	1
PdxR3 – Frankineae/Propionibacterineae/Pseudonocardiaceae	3	0	1	0
PdxR3 – Caulobacterales	1	0	1	0
PdxR3 – Enterobacteriales	3	0	2	1
PdxR3 – Rhodobacterales	1	0	1	0
YrdX3 – Sphingomonadales	1	0	1	0
Bcep18194_A4479 – Burkholderia	1	0	1	0
BPSL1086 – Burkholderia	8	0	2	6
Vapar_1337 – Comamonadaceae	1	0	1	0
BACOVA_03038 – Bacteroidaceae	1	0	1	0
PA2100 – Pseudomonadaceae	2	0	2	1
PP0486 – Pseudomonadaceae	3	0	2	6
YcxD – Clostridia-1	2	0	2	4
YcxD – Bacillales	5	0	3	3
GabR – Moraxellaceae 	2	0	1	0
TauR – Comamonadaceae	4	0	4	3
GabR – Staphylococcaceae	1	0	1	0
GabR – Bacillales	4	0	2	1
PdxR – Enterococcaceae	2	0	1	0
PdxR – Listeriaceae	4	0	1	0
YhdI/YdeL – Bacillales	4	0	3	3
PdxR2(2) – Micrococcineae	1	0	1	0
PdxR2 – Mycobacteriaceae	1	0	1	0
PdxR – Corynebacteriaceae	3	0	2	1
PdxR – Frankineae/Propionibacterineae/Pseudonocardiaceae	1	0	1	0
PdxR – Micrococcineae	3	0	3	2
YrdX3 – Xanthomonadales	1	0	1	0
YrdX3(2) – Ralstonia	1	0	1	0
YrdX3 – Caulobacterales	3	0	3	1
YjiR – Pseudomonadaceae	6	0	1	0
PdxR – Clostridia-3	14	0	5	3
Spro_2017 – Enterobacteriales	1	0	1	0
Veis_0044 – Comamonadaceae	1	0	1	0
RHA1_ro08093 – Nocardiaceae	1	0	1	0
PdxW2 – Comamonadaceae	1	0	1	0
PdxW – Rhodobacterales	1	0	1	0
PdxW – Rhodospirillales	2	0	1	0
PdxW – Desulfuromonadales	1	0	1	0
PdxQ – Bacillales	2	0	2	1
CD3353 – Clostridia-2	1	0	1	0
DVU2086 – Desulfovibrionales	1	0	1	0
BH1940 – Bacillales	1	0	1	0
PdxQ – Desulfuromonadales	1	0	1	0
PdxW – Bacillales	2	1	2	0
PdxQ – Desulfovibrionales	2	0	2	2
PdxQ – Clostridia-1	2	0	2	2
Veis_4721 – Comamonadaceae	1	0	1	0
SPOA0379 – Rhodobacterales	2	0	2	5
Bpet3338 – Alcaligenaceae	1	0	1	0
Daci_0288 – Comamonadaceae	1	0	1	0
Ent638_1108 – Enterobacteriales	1	0	1	0
Sbal_3352 – Shewanellaceae	3	0	2	6
EAM_2333 – Enterobacteriales	1	0	1	0
AHA_3778 – Psychromonadaceae/Aeromonadales	2	0	2	6
PdxR2 – Rhizobiales	1	0	1	0
PdxR2 – Sphingomonadales	1	0	1	0
PdxR2 – Rhodobacterales	2	0	1	0
PdxR – Pseudomonadaceae	2	0	2	1
PdxW2 – Various betaproteobacteria	1	0	1	0
Bcep1808_4966 – Burkholderia	2	0	2	6
YdeF – Bacillales	2	0	2	1
Spro_0112 – Enterobacteriales	1	0	1	0
XAC0737 – Xanthomonadales	2	0	2	1
PE36_10153 – Psychromonadaceae/Aeromonadales	1	0	1	0
ACIAD3613 – Moraxellaceae 	2	0	2	6
VV21354 – Vibrionales	3	0	3	6
CPS_3393 – Alteromonadales	1	0	1	0
Mmwyl1_0910 – Oceanospirillales/Alteromonadales	2	0	2	1
Daro_1932 – Various betaproteobacteria	2	0	2	6
BAV2320 – Alcaligenaceae	3	0	2	1
sll5086 – Cyanobacteria	2	0	1	0
Spro_3347 – Enterobacteriales	1	0	1	0
PdxQ3 – Mycobacteriaceae	1	0	1	0
YrdX – Ralstonia	1	0	1	0
YdcR – Moraxellaceae 	2	0	1	0
H16_B1468 – Ralstonia	4	0	1	0
BPSS0970 – Burkholderia	8	0	4	6
OapR – Rhodospirillales	1	0	1	0
OapR – Rhizobiales	1	0	1	0
OapR – Burkholderia	2	0	1	0
OapR – Alcaligenaceae	3	0	1	0
CV4096 – Various betaproteobacteria	1	0	1	0
PdxW2 – Oceanospirillales/Alteromonadales	1	0	1	0
PdxW – Enterobacteriales	2	1	2	0
PdxW – Alteromonadales	2	0	2	1
PdxW – Shewanellaceae	1	0	1	0
Bxe_A4302 – Burkholderia	1	0	1	0
BBta_7471 – Rhizobiales	1	0	1	0
AB57_0242 – Moraxellaceae 	1	0	1	0
Mmwyl1_4437 – Oceanospirillales/Alteromonadales	1	0	1	0
PP2642 – Pseudomonadaceae	1	0	1	0
Daci_4286 – Comamonadaceae	1	0	1	0
CPS_4612 – Alteromonadales	3	0	3	6
MED92_15328 – Oceanospirillales/Alteromonadales	2	0	2	1
PdxR – Rhizobiales	2	0	1	0
PdxR – Various betaproteobacteria	1	0	1	0
PdxR – Rhodospirillales	1	0	1	0
PdxR – Enterobacteriales	1	0	1	0
PdxR – Comamonadaceae	2	0	2	2
PdxR – Alcaligenaceae	2	0	2	2
PdxR – Staphylococcaceae	7	2	6	2
PdxR – Bacillales	2	0	1	0
PdxR – Pasteurellales	3	0	3	5
PdxW – Caulobacterales	1	0	1	0
PdxQ – Comamonadaceae	1	0	1	0
PdxQ – Alcaligenaceae	1	0	1	0
PdxQ – Ralstonia	2	0	2	1
PdxQ – Rhizobiales	1	0	1	0
PdxQ – Rhodospirillales	1	0	1	0
PdxQ – Rhodobacterales	1	0	1	0
CV1517 – Various betaproteobacteria	1	0	1	0
PFL_2191 – Pseudomonadaceae	1	0	1	0
HCH_03332 – Oceanospirillales/Alteromonadales	1	0	1	0
Bamb_3558 – Burkholderia	4	0	1	0
Bcav_0410 – Micrococcineae	1	0	1	0
Bcav_0044 – Micrococcineae	1	0	1	0
SACE_6928 – Frankineae/Propionibacterineae/Pseudonocardiaceae	2	0	2	6
Nfa21130 – Nocardiaceae	4	0	3	6
SCO4836 – Streptomycetaceae	4	0	2	6
PdxR2 – Deinococcus-Thermus	1	0	1	0
YdfD/YisV – Clostridia-1	2	0	2	1
YdfD/YisV – Lactobacillaceae	1	0	1	0
GabR2 – Pseudomonadaceae	2	0	1	0
EF0117 – Enterococcaceae	2	0	2	5
CV1900 – Various betaproteobacteria	1	0	1	0
YdcR – Oceanospirillales/Alteromonadales	2	0	2	1
YdcR – Psychromonadaceae/Aeromonadales	2	0	1	0
YdcR – Shewanellaceae	5	0	2	1
YdcR – Vibrionales	6	0	6	4
YdcR – Pseudomonadaceae	6	0	3	2
YdcR – Enterobacteriales	10	0	3	1
Smlt0590 – Xanthomonadales	1	0	1	0
AB57_2651 – Moraxellaceae 	1	0	1	0
Sbal_1936 – Shewanellaceae	1	0	1	0
YE4144 – Enterobacteriales	2	0	2	1
BAV2922 – Alcaligenaceae	3	0	2	6
H16_A2655 – Ralstonia	6	0	2	4
