Regulog statistics:
RegulogName	genomes#	genomesWithoutCRtag#	CRtag#	VariablePositions#
AlgR – Shewanellaceae	1	0	1	0
AraR – Shewanellaceae	5	0	1	0
FadR – Shewanellaceae	16	0	2	4
HutC – Shewanellaceae	16	0	1	0
HypR – Shewanellaceae	16	0	2	1
AraR – Lactobacillaceae	8	0	4	2
CBO1205 – Clostridia-1	2	0	2	6
GntR – Staphylococcaceae	7	1	2	0
PhnF – Enterobacteriales	6	0	2	1
GlcC – Enterobacteriales	1	0	1	0
HutC – Enterobacteriales	8	0	2	1
UxuR – Enterobacteriales	6	0	3	3
GudR – Bacillales	4	0	3	3
SdhR – Various betaproteobacteria	7	0	4	1
FrlR – Bacillales	2	0	1	0
NagR – Bacillales	9	0	3	2
YtrA – Bacillales	7	0	2	1
TreR – Bacillales	9	0	5	3
GntR – Bacillales	3	0	3	1
TM0766 – Thermotogales	9	6	4	1
DgoR – Enterobacteriales	6	0	2	1
GmuR – Bacillales	6	0	5	1
BglR – Bacillales	3	0	2	1
LldR – Enterobacteriales	5	0	1	0
ExuR – Enterobacteriales	8	0	1	0
AraR – Thermotogales	6	0	3	5
CD1503 – Clostridia-2	3	0	2	6
NanR – Enterobacteriales	5	0	1	0
PhnR – Oceanospirillales/Alteromonadales	1	0	1	0
PhnR – Moraxellaceae	1	0	1	0
VanR – Oceanospirillales/Alteromonadales	2	0	2	3
PhnR – Psychromonadaceae/Aeromonadales	4	0	3	1
VanR – Alteromonadales	1	0	1	0
VanR – Comamonadaceae	6	0	5	3
VanR – Xanthomonadales	2	0	2	1
VanR – Moraxellaceae	2	0	1	0
PdhR – Shewanellaceae	16	0	1	0
UxuR – Oceanospirillales/Alteromonadales	1	0	1	0
UxuR – Psychromonadaceae/Aeromonadales	3	0	3	2
PrpR – Shewanellaceae	16	0	4	4
HypR – Rhodospirillales	1	0	1	0
HypR – Oceanospirillales/Alteromonadales	2	0	2	1
HypR – Psychromonadaceae/Aeromonadales	3	0	2	3
HypR – Alteromonadales	3	0	1	0
HutC – Sphingomonadales	2	0	2	3
HutC – Rhodospirillales	5	0	4	2
HutC – Comamonadaceae	7	0	5	3
AraR – Bacillales	9	0	4	3
HutC – Xanthomonadales	3	0	1	0
HutC – Moraxellaceae	2	0	2	1
HutC – Oceanospirillales/Alteromonadales	3	0	3	1
HutC – Psychromonadaceae/Aeromonadales	4	0	3	3
LldR – Desulfuromonadales	4	0	2	1
LldR – Rhodospirillales	4	1	3	1
HutC – Various betaproteobacteria	1	0	1	0
LldR – Comamonadaceae	3	0	3	2
LldR – Xanthomonadales	1	0	1	0
LldR – Moraxellaceae	2	0	1	0
LldR – Oceanospirillales/Alteromonadales	4	0	2	1
PdhR – Oceanospirillales/Alteromonadales	2	0	1	0
PdhR – Psychromonadaceae/Aeromonadales	6	0	1	0
PdhR – Alteromonadales	9	0	2	2
LldR – Various betaproteobacteria	5	0	3	2
SO0072 – Shewanellaceae	14	0	1	0
UxuR – Rhodobacterales	1	0	1	0
UxuR – Pasteurellales	4	0	1	0
UxuR – Vibrionales	4	0	3	3
FadR – Psychromonadaceae/Aeromonadales	5	0	1	0
FadR – Alteromonadales	9	0	1	0
LldR – Desulfovibrionales	6	0	5	2
