Regulog statistics:
RegulogName	genomes#	genomesWithoutCRtag#	CRtag#	VariablePositions#
AAur_3503 – Micrococcineae	2	0	1	0
AAur_4078 – Micrococcineae	4	0	3	2
ABC1167 – Bacillales	1	0	1	0
AbfR – Bifidobacteriaceae	2	0	2	2
AduR – Rhizobiales	4	0	4	2
AfrR – Rhizobiales	6	0	5	4
AfrR – Rhodobacterales	1	0	1	0
AglR – Rhizobiales	7	0	2	1
AglR – Rhodobacterales	5	0	3	2
AlsR – Listeriaceae	2	0	1	0
AlsR – Streptococcaceae	1	0	1	0
AouR – Bifidobacteriaceae	3	0	3	6
AraQ – Bifidobacteriaceae	10	0	4	4
Arth_2426 – Micrococcineae	5	4	2	0
AscG – Enterobacteriales	7	0	4	4
Atu5239 – Rhizobiales	2	0	2	10
AZL_a08610 – Rhodospirillales	1	0	1	0
Bamb_2736 – Burkholderia 	2	0	2	8
Bamb_4155 – Burkholderia	3	0	2	9
BBNG_01789 – Bifidobacteriaceae	1	0	1	0
BC0230 – Bacillales	1	0	1	0
BC5402 – Bacillales	1	0	1	0
BDP_1267 – Bifidobacteriaceae	2	0	2	2
BDP_2100 – Bifidobacteriaceae	2	0	2	9
BDP_2111 – Bifidobacteriaceae	2	0	2	4
BDP_2131 – Bifidobacteriaceae	2	1	2	0
BfrR – Bifidobacteriaceae	3	3	1	0
BfrR – Chloroflexia	2	2	1	0
BfrR – Lactobacillaceae	1	0	1	0
BfrR – Streptococcaceae	4	0	3	1
BgaR – Bifidobacteriaceae	6	1	5	5
BgaR – Micrococcineae	2	0	2	5
BgaR – Streptomycetaceae	3	0	2	1
BglR  – Sphingomonadales	3	0	2	1
BglR – Alteromonadales	6	0	6	2
BglR – Bifidobacteriaceae	4	1	2	0
BglR – Burkholderia 	2	0	2	1
BglR – Deinococcus-Thermus	3	0	3	6
BglR – Enterobacteriales	1	0	1	0
BglR – Enterococcaceae	1	0	1	0
BglR – Listeriaceae	4	0	1	0
BglR – Shewanellaceae	6	1	4	2
BglR – Vibrionales 	3	0	2	1
BglR1 – Caulobacterales	2	0	1	0
BglR2 – Caulobacterales	3	0	2	1
BglR2 – Listeriaceae	4	0	1	0
BglR3 – Caulobacterales	4	0	1	0
BglZ – Bacillales	5	0	4	3
BH1250 – Bacillales	4	1	4	2
BH1516 – Bacillales	2	0	2	1
BIFBRE_03467 – Bifidobacteriaceae	1	0	1	0
BIFBRE_03542 – Bifidobacteriaceae	1	0	1	0
BL0176 – Bifidobacteriaceae	3	0	2	1
BL0185 – Bifidobacteriaceae	4	0	2	1
BL0610 – Bifidobacteriaceae	1	0	1	0
BLA_0143 – Bifidobacteriaceae 	4	1	3	1
Blon_0374 – Bifidobacteriaceae	1	0	1	0
blr3394 – Rhizobiales	2	0	1	0
Bphy_2245 – Burkholderia	2	0	2	10
Bphy_4590 – Burkholderia	5	0	3	10
Bphy_6994 – Burkholderia	2	2	1	0
Bpro_5109 – Comamonadaceae	2	0	2	9
BPSL1304 – Burkholderia	8	0	2	2
Caur_1157 – Chloroflexia	3	0	2	3
Caur_3448 – Chloroflexia	5	0	4	5
Caur_3866 – Chloroflexia	2	0	1	0
CC1627 – Caulobacterales	4	0	3	2
CceR (GapR) – Rhodobacterales	13	2	3	2
CcpA – Bacillales	11	0	1	0
CcpA – Clostridia-1	8	0	1	0
CcpA – Clostridia-2	3	0	1	0
CcpA – Lactobacillaceae	15	0	4	3
CcpA – Staphylococcaceae	7	2	3	1
CcpA – Streptococcaceae	15	1	3	1
CcpB – Lactobacillaceae	4	0	4	4
CcpB – Listeriaceae	4	0	1	0
CcpB – Streptococcaceae	5	0	5	7
CD0683 – Clostridia-2 	1	1	1	0
CelR – Micrococcineae	4	0	3	4
CelR – Streptomycetaceae 	4	0	1	0
CelR – Thermotogales	7	0	5	3
CelR – Vibrionales  	5	0	1	0
CelR2 – Enterobacteriales	2	0	1	0
CelR2 – Vibrionales	3	0	2	1
CelR3 – Vibrionales	2	0	1	0
Cg2314 – Corynebacteriaceae	1	0	1	0
CldR – Bifidobacteriaceae	1	1	1	0
Csal_3216 – Oceanospirillales/Alteromonadales 	1	0	1	0
CscR – Bifidobacteria	8	8	2	0
CscR – Enterobacteriales 	3	0	3	2
DR2501 – Deinococcus-Thermus 	3	0	3	3
EbgR – Enterobacteriales	2	2	1	0
EbgR – Psychromonadaceae/Aeromonadales	2	2	1	0
EbgR – Vibrionales	7	7	1	0
ECA4246 – Enterobacteriales	1	0	1	0
EF1410 – Enterococcaceae	1	0	1	0
ExuR – Bacillales	4	0	3	1
ExuR – Clostridia-1 	3	0	2	1
ExuR – Lactobacillaceae	2	0	2	2
FruR – Enterobacteriales	12	12	1	0
FruR – Micrococcineae	2	0	2	3
FruR – Oceanospirillales/Alteromonadales	2	2	1	0
FruR – Pasteurellales	3	3	1	0
FruR – Pseudomonadaceae	8	8	1	0
FruR – Psychromonadaceae/Aeromonadales	6	6	1	0
FruR – Vibrionales	10	10	1	0
FruR2 – Comamonadaceae	2	1	2	0
FruR2 – Ralstonia 	2	2	1	0
FruR2 – Rhodobacterales	1	1	1	0
FruR2 – Rhodospirillales	3	3	1	0
FruR2 – Various betaproteobacteria	1	1	1	0
FruR2 – Xanthomonadales 	3	3	1	0
FucR – Bifidobacteriaceae	2	0	2	1
GalR – Alteromonadales	2	0	2	1
GalR – Desulfovibrionales 	2	0	2	3
GalR – Lactobacillaceae	11	11	1	0
GalR – Pasteurellales	5	2	5	3
GalR – Shewanellaceae	1	0	1	0
GalR – Streptococcaceae	9	9	2	0
GalR – Thermotogales	9	0	3	2
GalR – Vibrionales 	8	0	2	1
GalR/GalS – Enterobacteriales	11	0	2	4
GalR2 – Bifidobacteriaceae	1	1	1	0
GanR – Bacillales	5	5	1	0
GloR – Thermotogales	5	0	4	4
GluR – Caulobacterales	3	0	1	0
GlxR – Bifidobacteriaceae	1	1	1	0
GntR – Alteromonadales	1	1	1	0
GntR – Bifidobacteriaceae	1	1	1	0
GntR – Burkholderia	1	0	1	0
GntR – Comamonadaceae	8	0	7	4
GntR – Enterobacteriales  	12	0	5	3
GntR – Oceanospirillales/Alteromonadales	3	0	3	4
GntR – Pasteurellales	7	1	5	2
GntR – Pseudomonadaceae	8	1	7	5
GntR – Psychromonadaceae/Aeromonadales	5	0	5	3
GntR – Rhizobiales	1	0	1	0
GntR – Rhodospirillales	1	0	1	0
GntR – Shewanellaceae	1	0	1	0
GntR – Various betaproteobacteria	1	0	1	0
GntR – Vibrionales	8	0	5	3
GntR2 – Bacillales	4	4	1	0
GntR2 – Lactobacillaceae	2	2	1	0
GosR – Bifidobacteriaceae	6	0	1	0
GosR2 – Bifidobacteriaceae	1	0	1	0
GudR – Comamonadaceae	4	0	4	7
HpxR – Ralstonia	3	0	2	1
HxlR – Bifidobacteriaceae	2	2	1	0
HxlR – Lactobacillaceae	2	2	1	0
IdnR – Enterobacteriales	4	0	3	3
IdnR – Rhizobiales	7	1	6	4
IolR – Micrococcineae	2	0	2	3
IolR – Oceanospirillales/Alteromonadales	1	0	1	0
IolR – Rhizobiales	2	0	1	0
IolR – Rhodobacterales	3	0	2	1
IolR – Streptomycetaceae	2	0	1	0
IolR – Thermoanaerobacterales	5	0	3	4
IolR1 – Bacillales	5	0	4	4
IolR2 – Bacillales	2	0	2	5
IolR2 – Corynebacteriaceae	1	0	1	0
Jann_1107 – Rhodobacterales	2	0	2	9
Jann_1459 – Rhodobacterales	4	0	4	7
Jann_3936 – Rhodobacterales	1	0	1	0
KdgR – Bacillales	3	3	1	0
KdgR – Bacteroidaceae	10	0	2	1
KglR – Rhizobiales	2	0	2	1
KglR – Rhodobacterales	1	0	1	0
KojR – Bacillales	2	0	1	0
KojR – Chloroflexia	2	0	1	0
KojR – Thermoanaerobacterales 	5	0	3	5
LacI – Enterobacteriales   	5	0	3	2
LacR – Bifidobacteriaceae	8	8	1	0
LacR – Lactobacillaceae	7	7	1	0
LACR_0766 – Streptococcaceae	2	2	1	0
LBA1472 – Lactobacillaceae	2	0	1	0
LfaR – Enterobacteriales	6	0	6	4
LgoR – Bacteroidaceae	6	1	2	0
LJ1265 – Lactobacillaceae 	2	0	2	1
Lmo0031 – Listeriaceae	2	0	1	0
Lp_3221 – Lactobacillaceae	3	0	2	3
LSEI_0368  – Lactobacillaceae	2	0	1	0
MalI – Enterobacteriales	5	0	3	2
MalI – Vibrionales	4	0	3	3
MalR – Alteromonadales 	7	0	2	1
MalR – Bacteroidaceae	5	2	3	0
MalR – Lactobacillaceae	7	0	6	5
MalR – Shewanellaceae	11	0	1	0
MalR – Sphingomonadales 	3	0	1	0
MalR – Staphylococcaceae	4	1	4	2
MalR – Streptococcaceae	15	0	11	5
MalR – Xanthomonadales	3	0	1	0
MalR1 – Clostridia-1 	4	0	2	1
MalR1/MalR2/MalR3 – Bifidobacteriaceae	10	0	6	4
MalR2 – Bacillales	7	1	5	3
MalR2 – Clostridia-1	4	0	4	4
MalR2 – Streptococcaceae	4	4	1	0
MalR2 – Thermoanaerobacterales	5	0	3	3
MalR3 – Lactobacillaceae	6	5	2	0
MalR4 – Bifidobacteriaceae	3	0	3	4
MalR5 – Bifidobacteriaceae	3	0	3	4
ManR – Psychromonadaceae/Aeromonadales 	1	0	1	0
ManR – Streptomycetaceae	4	0	1	0
ManR – Xanthomonadales	3	0	2	2
ManR1 – Alteromonadales	3	0	3	4
ManR1 – Shewanellaceae	2	0	1	0
ManR2 – Alteromonadales	1	0	1	0
ManR2 – Shewanellaceae	1	0	1	0
MdxR – Bacillales	2	0	1	0
MdxR – Lactobacillaceae	6	1	5	3
MdxR – Listeriaceae	4	0	1	0
MdxR – Streptococcaceae	1	0	1	0
Mll1683 – Rhizobiales	6	1	6	7
MocR – Rhizobiales	5	0	3	3
MsmR – Bacillales	5	5	1	0
MsmR – Bifidobacteriaceae	4	0	2	1
MsmR – Micrococcineae	3	0	2	2
MsmR1 – Bifidobacteriaceae	3	0	2	3
NagR – Alteromonadales	3	0	3	2
NagR – Oceanospirillales/Alteromonadales	3	0	3	2
NagR – Shewanellaceae	15	0	1	0
NagR – Xanthomonadales	4	1	2	0
NGR_b22600 – Rhizobiales	1	0	1	0
NigR – Lactobacillaceae	2	2	1	0
NigR – Streptococcaceae	1	1	1	0
NtdR – Bacillales	3	0	2	2
OB2597_06045 – Rhodobacterales	1	1	1	0
OG2516_10476 – Rhodobacterales	1	0	1	0
OglR2 – Lactobacillaceae	1	0	1	0
Patl_0292 – Alteromonadales	1	1	1	0
PckR – Rhizobiales	10	1	5	4
PFL_0254 – Pseudomonadaceae	3	0	3	5
PMI2934 – Enterobacteriales	1	1	1	0
pRL90265 – Rhizobiales	3	0	3	10
PsiR – Rhizobiales	4	4	2	0
PSPTO0485 – Pseudomonadaceae	1	0	1	0
PtsR – Bifidobacteriaceae	7	0	5	3
